Designator,Mid X,Mid Y,Rotation,Layer
SW49,209.694835,-164.4258,0.0,top
SW5,233.507335,-107.2758,0.0,top
SW50,228.744835,-164.4258,0.0,top
SW51,247.794835,-164.4258,0.0,top
SW52,266.844835,-164.4258,0.0,top
SW53,285.894835,-164.4258,0.0,top
SW54,304.944835,-164.4258,0.0,top
SW55,323.994835,-164.4258,0.0,top
SW56,343.044835,-164.4258,0.0,top
SW57,362.094835,-164.4258,0.0,top
SW58,381.144835,-164.4258,0.0,top
SW59,412.101085,-164.4258,0.0,top
SW6,252.557335,-107.2758,0.0,top
SW60,443.057335,-164.4258,0.0,top
SW61,169.213585,-183.4758,0.0,top
SW62,200.169835,-183.4758,0.0,top
SW63,219.219835,-183.4758,0.0,top
SW64,238.269835,-183.4758,0.0,top
SW65,257.319835,-183.4758,0.0,top
SW66,276.369835,-183.4758,0.0,top
SW67,295.419835,-183.4758,0.0,top
SW68,314.469835,-183.4758,0.0,top
SW69,333.519835,-183.4758,0.0,top
SW7,271.607335,-107.2758,0.0,top
SW70,352.569835,-183.4758,0.0,top
SW71,371.619835,-183.4758,0.0,top
SW72,397.813585,-183.4758,0.0,top
SW73,424.007335,-183.4758,0.0,top
SW74,443.057335,-183.4758,0.0,top
SW75,159.688585,-202.5258,0.0,top
SW76,183.501085,-202.5258,0.0,top
SW77,207.313585,-202.5258,0.0,top
SW78,278.751085,-202.5258,0.0,top
SW79,347.807335,-202.5258,0.0,top
SW8,290.657335,-107.2758,0.0,top
SW80,366.857335,-202.5258,0.0,top
SW81,385.907335,-202.5258,0.0,top
SW82,404.957335,-202.5258,0.0,top
SW83,424.007335,-202.5258,0.0,top
SW84,443.057335,-202.5258,0.0,top
SW9,309.707335,-107.2758,0.0,top
